0.000	0.000	0.000	0.000	0.000	0.004	0.008	0.004	0.004	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.004	0.012	0.031	0.043	0.031	0.012	0.004	0.000	0.000	0.000
0.000	0.000	0.000	0.012	0.047	0.110	0.149	0.118	0.051	0.012	0.000	0.000	0.000
0.000	0.000	0.004	0.031	0.118	0.259	0.345	0.271	0.125	0.035	0.004	0.000	0.000
0.000	0.000	0.012	0.063	0.212	0.435	0.561	0.455	0.231	0.075	0.012	0.000	0.000
0.000	0.000	0.024	0.106	0.318	0.588	0.729	0.612	0.341	0.122	0.027	0.004	0.000
0.000	0.004	0.039	0.161	0.416	0.702	0.835	0.725	0.447	0.180	0.047	0.008	0.000
0.000	0.008	0.055	0.220	0.506	0.780	0.894	0.800	0.537	0.239	0.067	0.012	0.000
0.000	0.012	0.075	0.271	0.580	0.835	0.929	0.855	0.608	0.294	0.086	0.016	0.000
0.000	0.016	0.094	0.318	0.635	0.875	0.953	0.886	0.659	0.341	0.110	0.020	0.000
0.004	0.024	0.118	0.357	0.678	0.902	0.965	0.906	0.698	0.376	0.129	0.027	0.004
0.004	0.031	0.137	0.392	0.710	0.914	0.973	0.918	0.718	0.404	0.145	0.031	0.004
0.004	0.035	0.153	0.412	0.725	0.922	0.976	0.922	0.729	0.416	0.157	0.035	0.004
0.004	0.035	0.161	0.424	0.733	0.922	0.976	0.922	0.729	0.420	0.157	0.035	0.004
0.004	0.035	0.161	0.424	0.733	0.922	0.976	0.922	0.722	0.408	0.149	0.035	0.004
0.004	0.035	0.149	0.412	0.722	0.922	0.973	0.914	0.706	0.388	0.137	0.031	0.004
0.004	0.027	0.137	0.388	0.706	0.910	0.969	0.902	0.678	0.361	0.118	0.024	0.004
0.004	0.020	0.114	0.349	0.671	0.894	0.957	0.875	0.639	0.318	0.094	0.016	0.000
0.000	0.016	0.090	0.302	0.620	0.859	0.933	0.835	0.580	0.271	0.075	0.012	0.000
0.000	0.012	0.071	0.251	0.549	0.812	0.898	0.780	0.506	0.220	0.059	0.008	0.000
0.000	0.008	0.047	0.192	0.459	0.733	0.839	0.702	0.420	0.165	0.039	0.004	0.000
0.000	0.004	0.027	0.129	0.349	0.624	0.733	0.592	0.318	0.110	0.024	0.000	0.000
0.000	0.000	0.016	0.075	0.235	0.463	0.565	0.439	0.212	0.063	0.012	0.000	0.000
0.000	0.000	0.008	0.035	0.129	0.275	0.345	0.263	0.118	0.031	0.004	0.000	0.000
0.000	0.000	0.004	0.012	0.051	0.118	0.153	0.114	0.047	0.012	0.000	0.000	0.000
0.000	0.000	0.000	0.004	0.012	0.031	0.043	0.031	0.012	0.004	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.004	0.004	0.008	0.004	0.000	0.000	0.000	0.000	0.000
